"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"
"ENSMUSG00000003271"	54.58	35.76	57.42	87.05	136.14	118.57	55.91	32.54	70.37
"ENSMUSG00000003283"	11717.14	11860.5	11509.79	7042.34	8876.97	5691.41	12559.22	10161.69	11851.77
"ENSMUSG00000003345"	6428.84	5697.05	5152.67	3644.29	4335.17	2387.28	3472.93	4195.33	3552.15
"ENSMUSG00000003352"	953.69	797.54	1130.43	13443.97	17497.11	5914.2	67672.36	52970.8	51849.95
"ENSMUSG00000003355"	68.45	77.73	65.72	307.42	180.55	579.26	10.25	37.42	40.08
"ENSMUSG00000003363"	235.88	256.52	320.31	1669.62	2296.97	1147.19	694.21	869.65	986.91
"ENSMUSG00000003379"	591.08	503.71	638.55	4530.47	3768.41	11795.92	3034.97	2630.93	2494.88
"ENSMUSG00000003380"	802.91	1172.99	956.79	2172.3	2829.93	3700.62	4807.32	1912.59	1602.39
"ENSMUSG00000003418"	364.46	155.47	371.51	4203.45	3164	2233.97	1022.22	1663.65	2056.65
"ENSMUSG00000003420"	822.34	916.47	979.62	1711.96	2414.76	1205.35	1890.69	707.76	727.71
"ENSMUSG00000003452"	22.2	64.52	20.06	141.16	74.34	128.39	63.36	65.08	83.73
"ENSMUSG00000003458"	4075.61	4001.69	4265.06	3016.91	3064.55	1868.44	2226.14	3714.54	4083.01
"ENSMUSG00000003541"	292.3	528.58	784.52	1863.32	3731.73	1765.73	527.42	483.23	471.19
"ENSMUSG00000003549"	252.53	352.13	311.32	382.7	504.97	660.07	631.78	400.25	292.15
"ENSMUSG00000003604"	513.38	488.16	446.92	763.05	813.93	1053.54	1394.95	767.96	760.67
"ENSMUSG00000003644"	8270.54	9474.1	8498.3	3949.36	3203.59	1900.91	1536.59	2934.37	3080.07
"ENSMUSG00000003657"	9.25	4.66	0	0	0	0	0	0	0
"ENSMUSG00000003660"	2425.38	2025.72	2875.89	1662.56	1316.97	912.32	1658.66	2180.24	2070.9
"ENSMUSG00000003731"	449.56	466.4	459.37	274.48	104.28	290.76	266.5	342.49	296.61
