ID	log2fold	p	p.adj
ENSMUSG00000028859	-5.32447850504254	1.55452049370523E-08	9.83335963759356E-07
ENSMUSG00000024081	-1.26095045345574	1.55765013995817E-08	9.83335963759356E-07
ENSMUSG00000030144	-3.89717607441875	1.57885344647644E-08	9.93506263884383E-07
ENSMUSG00000089917	0.913683151962656	1.60128561694932E-08	1.0043819462968E-06
ENSMUSG00000017309	-4.97398041064996	1.61884838823859E-08	1.01214344581315E-06
ENSMUSG00000040669	-1.60988368850851	1.71357020068522E-08	1.06794293625452E-06
ENSMUSG00000031843	-1.09985714130084	1.81956278925464E-08	1.12680035968223E-06
ENSMUSG00000101389	-3.93277464972362	1.81809199799887E-08	1.12680035968223E-06
ENSMUSG00000020346	-0.909809352919344	1.88819749129546E-08	1.16560343236394E-06
ENSMUSG00000024382	1.12808465668665	2.08137907602309E-08	1.28080320618241E-06
ENSMUSG00000027995	-2.46193004740872	2.19690364713067E-08	1.34764149196786E-06
ENSMUSG00000021148	4.93363866044246	2.23322177707817E-08	1.36562561772614E-06
ENSMUSG00000030753	1.42841213054904	2.24925997874466E-08	1.37113482516788E-06
ENSMUSG00000028954	0.939129886677646	2.25698216385034E-08	1.37155610810681E-06
ENSMUSG00000018774	-2.68745601307371	2.29305783975911E-08	1.3891515304404E-06
ENSMUSG00000023032	1.86170279719685	2.35099303937665E-08	1.41983966622664E-06
ENSMUSG00000018401	2.07507274891539	2.42670374620673E-08	1.4527318495762E-06
ENSMUSG00000023349	-4.00786066365096	2.42779813893394E-08	1.4527318495762E-06
ENSMUSG00000026357	-4.00536747182166	2.42752555241356E-08	1.4527318495762E-06
ENSMUSG00000114033	2.62419136220039	2.50617330108483E-08	1.49504350410586E-06
